Common Name,Scientific Name
Moose,(Alces alces)
Harris's Antelope Squirrel,(Ammospermophilus harrisii)
Pronghorn,(Antilocapra americana)
Pallid Bat,(Antrozous pallidus)
Mountain Beaver,(Aplodontia rufa)
Guadalupe Fur Seal,(Arctocephalus townsendi)
Bowhead Whale,(Balaena mysticetus)
Northern Minke Whale,(Balaenoptera acutorostrata)
Sei Whale,(Balaenoptera borealis)
Bryde's Whale,(Balaenoptera edeni)
Blue Whale,(Balaenoptera musculus)
Fin Whale,(Balaenoptera physalus)
Ringtail,(Bassariscus astutus)
Cacomistle,(Bassariscus sumichrasti)
American Bison,(Bison bison)
Northern Short-tailed Shrew,(Blarina brevicauda)
Southern Short-tailed Shrew,(Blarina carolinensis)
Pygmy Rabbit,(Brachylagus idahoensis)
Northern Fur Seal,(Callorhinus ursinus)
Golden-mantled Ground Squirrel,(Callospermophilus lateralis)
Coyote,(Canis latrans)
Gray Wolf,(Canis lupus)
Red Wolf,(Canis rufus)
American Beaver,(Castor canadensis)
Elk,(Cervus elaphus)
Bailey's Pocket Mouse,(Chaetodipus baileyi)
Mexican Long-tongued Bat,(Choeronycteris mexicana)
Star-nosed Mole,(Condylura cristata)
North American Hog-nosed Skunk,(Conepatus leuconotus)
Townsend's Big-eared Bat,(Corynorhinus townsendii)
White-tailed Prairie Dog,(Cynomys leucurus)
Black-tailed Prairie Dog,(Cynomys ludovicianus)
Utah Prairie Dog,(Cynomys parvidens)
Hooded Seal,(Cystophora cristata)
Nine-banded Armadillo,(Dasypus novemcinctus)
Beluga,(Delphinapterus leucas)
Long-beaked Common Dolphin,(Delphinus capensis)
Short-beaked Common Dolphin,(Delphinus delphis)
Virginia Opossum,(Didelphis virginiana)
Giant Kangaroo Rat,(Dipodomys ingens)
Tayra,(Eira barbara)
Sea Otter,(Enhydra lutris)
Big Brown Bat,(Eptesicus fuscus)
North American Porcupine,(Erethizon dorsatum)
Bearded Seal,(Erignathus barbatus)
Gray Whale,(Eschrichtius robustus)
North Atlantic Right Whale,(Eubalaena glacialis)
North Pacific Right Whale,(Eubalaena japonica)
Steller Sea Lion,(Eumetopias jubatus)
Texas Pocket Gopher,(Geomys personatus)
Northern Flying Squirrel,(Glaucomys sabrinus)
Southern Flying Squirrel,(Glaucomys volans)
Short-finned Pilot Whale,(Globicephala macrorhynchus)
Long-finned Pilot Whale,(Globicephala melas)
Risso's Dolphin,(Grampus griseus)
Wolverine,(Gulo gulo)
Gray Seal,(Halichoerus grypus)
Jaguarundi,(Herpailurus yaguaroundi)
Ribbon Seal,(Histriophoca fasciata)
Northern Bottlenosed Whale,(Hyperoodon ampullatus)
Thirteen-lined Ground Squirrel,(Ictidomys tridecemlineatus)
Pygmy Sperm Whale,(Kogia breviceps)
Fraser's Dolphin,(Lagenodelphis hosei)
Atlantic White-sided Dolphin,(Lagenorhynchus acutus)
White-beaked Dolphin,(Lagenorhynchus albirostris)
Pacific White-sided Dolphin,(Lagenorhynchus obliquidens)
Silver-haired Bat,(Lasionycteris noctivagans)
Western Red Bat,(Lasiurus blossevillii)
Red Bat,(Lasiurus borealis)
Hoary Bat,(Lasiurus cinereus)
Brown Lemming,(Lemmus trimucronatus)
Ocelot,(Leopardus pardalis)
Margay,(Leopardus weidii)
Snowshoe Hare,(Lepus americanus)
Arctic Hare,(Lepus arcticus)
Black-tailed Jackrabbit,(Lepus californicus)
Alaskan Hare,(Lepus othus)
White-tailed Jackrabbit,(Lepus townsendii)
Northern Right Whale Dolphin,(Lissodelphis borealis)
Northern River Otter,(Lontra canadensis)
Canada Lynx,(Lynx canadensis)
Bobcat,(Lynx rufus)
California Leaf-nosed Bat,(Macrotus californicus)
Hoary Marmot,(Marmota caligata)
Yellow-bellied Marmot,(Marmota flaviventris)
Woodchuck,(Marmota monax)
Olympic Marmot,(Marmota olympus)
American Marten,(Martes americana)
Fisher,(Martes pennanti)
Red Brocket,(Mazama americana)
Humpback Whale,(Megaptera novaeangliae)
Hooded Skunk,(Mephitis macroura)
Striped Skunk,(Mephitis mephitis)
Rock Vole,(Microtus chrotorrhinus)
Long-tailed Vole,(Microtus longicaudus)
Singing Vole,(Microtus miurus)
Tundra Vole,(Microtus oeconomus)
Meadow Vole,(Microtus pennsylvanicus)
Woodland Vole,(Microtus pinetorum)
Northern Elephant Seal,(Mirounga angustirostris)
Narwhal,(Monodon monoceros)
Ermine,(Mustela erminea)
Long-tailed Weasel,(Mustela frenata)
Black-footed Ferret,(Mustela nigripes)
Least Weasel,(Mustela nivalis)
Southwestern Myotis,(Myotis auriculus)
California Myotis,(Myotis californicus)
Gray Myotis,(Myotis grisescens)
Little Brown Bat,(Myotis lucifugus)
Northern Long-eared Myotis,(Myotis septentrionalis)
Indiana Bat,(Myotis sodalis)
Woodland Jumping Mouse,(Napaeozapus insignis)
White-nosed Coati,(Nasua narica)
Hawaiian Monk Seal,(Neomonachus schauinslandi)
Bushy-tailed Woodrat,(Neotoma cinerea)
American Mink,(Neovison vison)
Evening Bat,(Nycticeius humeralis)
American Pika,(Ochotona princeps)
Walrus,(Odobenus rosmarus)
Mule Deer,(Odocoileus hemionus)
White-tailed Deer,(Odocoileus virginianus)
Muskrat,(Ondatra zibethicus)
Killer Whale,(Orcinus orca)
Mountain Goat,(Oreamnos americanus)
Marsh Rice Rat,(Oryzomys palustris)
California Ground Squirrel,(Otospermophilus beecheyi)
Rock Squirrel,(Otospermophilus variegatus)
Muskox,(Ovibos moschatus)
Bighorn Sheep,(Ovis canadensis)
Dall's Sheep,(Ovis dalli)
Harp Seal,(Pagophilus groenlandica)
Sperm Whale,(Pagophilus groenlandicus)
Jaguar,(Panthera onca)
